,lat,lon,iy,ix
0,40.0523560209424,35.0,138,28
1,40.0523560209424,45.0,138,36
2,40.0523560209424,55.0,138,44
3,40.0523560209424,65.0,138,52
4,40.0523560209424,75.0,138,60
5,40.0523560209424,85.0,138,68
6,40.0523560209424,95.0,138,76
7,40.0523560209424,105.0,138,84
8,40.0523560209424,115.0,138,92
9,40.0523560209424,125.0,138,100
10,40.0523560209424,245.0,138,196
11,40.0523560209424,255.0,138,204
12,40.0523560209424,265.0,138,212
13,40.0523560209424,275.0,138,220
14,40.0523560209424,285.0,138,228
15,40.0523560209424,355.0,138,284
16,50.41884816753927,5.0,149,4
17,50.41884816753927,15.0,149,12
18,50.41884816753927,25.0,149,20
19,50.41884816753927,35.0,149,28
20,50.41884816753927,45.0,149,36
21,50.41884816753927,55.0,149,44
22,50.41884816753927,65.0,149,52
23,50.41884816753927,75.0,149,60
24,50.41884816753927,85.0,149,68
25,50.41884816753927,95.0,149,76
26,50.41884816753927,105.0,149,84
27,50.41884816753927,115.0,149,92
28,50.41884816753927,125.0,149,100
29,50.41884816753927,135.0,149,108
30,50.41884816753927,245.0,149,196
31,50.41884816753927,255.0,149,204
32,50.41884816753927,265.0,149,212
33,50.41884816753927,275.0,149,220
34,50.41884816753927,285.0,149,228
35,59.84293193717278,15.0,159,12
36,59.84293193717278,35.0,159,28
37,59.84293193717278,45.0,159,36
38,59.84293193717278,55.0,159,44
39,59.84293193717278,65.0,159,52
40,59.84293193717278,75.0,159,60
41,59.84293193717278,85.0,159,68
42,59.84293193717278,95.0,159,76
43,59.84293193717278,105.0,159,84
44,59.84293193717278,115.0,159,92
45,59.84293193717278,125.0,159,100
46,59.84293193717278,135.0,159,108
47,59.84293193717278,145.0,159,116
48,59.84293193717278,165.0,159,132
49,59.84293193717278,205.0,159,164
50,59.84293193717278,225.0,159,180
51,59.84293193717278,235.0,159,188
52,59.84293193717278,245.0,159,196
53,59.84293193717278,255.0,159,204
54,59.84293193717278,265.0,159,212
55,59.84293193717278,285.0,159,228
56,59.84293193717278,295.0,159,236
